,album_id,album_name,release_date,total_tracks,url,cover_art,length,song_ids
0,10FLjwfpbxLmW8c25Xyc2N,Die With A Smile,2024-08-16,1,https://open.spotify.com/album/10FLjwfpbxLmW8c25Xyc2N,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,4:11,['2plbrEY59IikOBgBGLjaoe']
1,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,2024-05-17,10,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,3:30,['6dOtVTDdiauQNBQEDOtlAB']
2,15XcLhiVMlSOipUddTNDnr,MUSE,2024-07-19,7,https://open.spotify.com/album/15XcLhiVMlSOipUddTNDnr,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,2:50,['7tI8dRuH2Yc6RuoTjxo4dU']
3,3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,2024-08-23,12,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,2:37,['5G2f63n7IPVPPjfNIGih7Q']
4,5quMTd5zeI9yW5UDua8wS4,Espresso,2024-04-12,1,https://open.spotify.com/album/5quMTd5zeI9yW5UDua8wS4,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,2:55,['2qSkIjg1o9h3YT9RAgYN75']
5,1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",2024-04-05,1,https://open.spotify.com/album/1WAjjRMfZjEXtB0lQrAw6Q,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,3:38,['0WbMK4wrZ1wFSty9F7FCgu']
6,5bBaoign62r1i7OV8w7mi9,Please Please Please,2024-06-06,2,https://open.spotify.com/album/5bBaoign62r1i7OV8w7mi9,https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e,3:06,['5N3hjp1WNayUPZrA8kJmJP']
7,5ylbxH7EqpsmHZCRuiYewS,Si Antes Te Hubiera Conocido,2024-06-21,1,https://open.spotify.com/album/5ylbxH7EqpsmHZCRuiYewS,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,3:15,['6WatFBLVB0x077xWeoVc2k']
8,6W0Gabv5f3ugnckc6YgfJQ,The Emptiness Machine,2024-09-05,1,https://open.spotify.com/album/6W0Gabv5f3ugnckc6YgfJQ,https://i.scdn.co/image/ab67616d0000b273c0db065619ed208515412917,3:10,['2PnlsTsOTLE5jnBnNe2K0A']
9,168CdR21lfn0TTyw1Pkdcm,Fireworks & Rollerblades,2024-04-05,15,https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,3:00,['3xkHsmpQCBMytMJNiDf3Ii']
10,3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,2024-08-23,12,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,2:51,['1UHS8Rf6h5Ar3CDWRd3wjF']
11,7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),2023-09-15,10,https://open.spotify.com/album/7nacKlk586eLRBSIsrk9DB,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,3:30,['17phhZDn6oGtzMe56NuWvj']
12,0DLvFVIfwt3OHdK9kGeEM3,"Where I've Been, Isn't Where I'm Going",2024-05-31,12,https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,2:51,['5fZJQrFKWQLb7FpJXZ1g7K']
13,48qd9sU3xqYJbKaxHCciJL,Unreal Unearth: Unaired,2024-08-19,23,https://open.spotify.com/album/48qd9sU3xqYJbKaxHCciJL,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,4:11,['19XpFsce28aByvCC4g89tJ']
14,4sD1qg4jwTZR4mvR4Iflk5,Strange Trails,2015-04-06,14,https://open.spotify.com/album/4sD1qg4jwTZR4mvR4Iflk5,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,3:28,['3hRV0jL3vUpRrcy398teAU']
15,7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 - Music from the HBO Original Series,2023-06-23,3,https://open.spotify.com/album/7tzVd1fwkxsorytCBjEJkU,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,4:04,['7CyPwkp0oE8Ro9Dd5CUDjW']
16,4xkM0BwLM9H2IUcbYzpcBI,I Love You.,2013-04-22,11,https://open.spotify.com/album/4xkM0BwLM9H2IUcbYzpcBI,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,4:00,['2QjOHCTQ1Jl3zawyYOpxh6']
17,3rQE6GuZuvLF82h0o3Xqqd,Guess featuring Billie Eilish,2024-08-01,1,https://open.spotify.com/album/3rQE6GuZuvLF82h0o3Xqqd,https://i.scdn.co/image/ab67616d0000b2731c5292408a65a19ce9830a72,2:23,['7qbJ4Dh8xuYUFdAWL8SFPK']
18,6ZG5lRT77aJ3btmArcykra,Parachutes,2000-07-10,10,https://open.spotify.com/album/6ZG5lRT77aJ3btmArcykra,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a,4:26,['3AJwUDP919kvQ9QcozQPxg']
19,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,3:03,['5XeFesFbtLpXzIVDNQP22n']
20,68CN2LzY8MoxO2udy2C22e,Sailor Song,2024-07-26,1,https://open.spotify.com/album/68CN2LzY8MoxO2udy2C22e,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,3:31,['2262bWmqomIaJXwCRHr13j']
21,0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,2023-09-22,14,https://open.spotify.com/album/0EiI8ylL0FmWWpgHVTsZjZ,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,3:04,['4xdBrk0nFZaP54vvZj0yx7']
22,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,2024-05-17,10,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,4:21,['3QaPy1KgI7nu9FJEQUgn6h']
23,6MikZBKCtKfPM4439yzBRz,EL COMIENZO,2024-08-09,7,https://open.spotify.com/album/6MikZBKCtKfPM4439yzBRz,https://i.scdn.co/image/ab67616d0000b273200e2b6526846c59789c92e6,3:42,['2esZG2XFtuoWWA9AfDvSxy']
24,4BbsHmXEghoPPevQjPnHXx,F-1 Trillion,2024-08-15,18,https://open.spotify.com/album/4BbsHmXEghoPPevQjPnHXx,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,2:58,['5IZXB5IKAD2qlvTPJYDCFB']
25,5EYKrEDnKhhcNxGedaRQeK,eternal sunshine,2024-03-08,13,https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4,3:48,['51ZQ1vr10ffzbwIjDCwqm4']
26,2Z1gnUf3nbn6DtwZSUIH54,MILLION DOLLAR BABY,2024-04-26,2,https://open.spotify.com/album/2Z1gnUf3nbn6DtwZSUIH54,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,2:35,['5AJ9hqTS2wcFQCELCFRO7A']
27,5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,2024-05-04,1,https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,4:34,['6AI3ezQ4o3HUoP6Dhudph3']
28,18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,3:11,['42VsgItocQwOQC3XWZ8JNA']
29,4Gfnly5CzMJQqkUFfoHaP3,Meteora,2003-09-16,13,https://open.spotify.com/album/4Gfnly5CzMJQqkUFfoHaP3,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b,3:07,['2nLtzopw4rPReszdYBJU6h']
30,6Yw4204wbgmpsGTzjXBhYD,Big Dawgs,2024-07-09,1,https://open.spotify.com/album/6Yw4204wbgmpsGTzjXBhYD,https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea,3:10,['0OA00aPt3BV10qeMIs3meW']
31,4JDXBZdRPId4devseaAOKH,DECIDE,2022-09-16,13,https://open.spotify.com/album/4JDXBZdRPId4devseaAOKH,https://i.scdn.co/image/ab67616d0000b273fddfffec51b4580acae727c1,2:39,['3qhlB30KknSejmIvZZLjOD']
32,5pSk3c3wVwnb2arb6ohCPU,GOLDEN,2023-11-03,11,https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,3:03,['2HRgqmZQC0MC7GeNuDIXHN']
33,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2:58,['1BxfuPKGuaTgP7aM0Bbdwr']
34,5nzSCZ7NhKvAysI0tmNOdD,yustyna,2024-07-11,14,https://open.spotify.com/album/5nzSCZ7NhKvAysI0tmNOdD,https://i.scdn.co/image/ab67616d0000b2738fe69d8df304ff053693653e,2:22,['3JG1uFc40wfyrqaWC7iv0e']
35,2lIzIH2mQQ0ItgkJKefQMp,MJ,2024-09-12,2,https://open.spotify.com/album/2lIzIH2mQQ0ItgkJKefQMp,https://i.scdn.co/image/ab67616d0000b2739b4a2665bec0fc42d55a1215,2:57,['6PhRhocBXP4y7NpciGmzra']
36,56bdWeO40o3WfAD2Lja4dl,The Secret of Us,2024-06-21,13,https://open.spotify.com/album/56bdWeO40o3WfAD2Lja4dl,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,2:37,['51rfRCiUSvxXlCSCfIztBy']
37,20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,2000-03-21,12,https://open.spotify.com/album/20RMokVwJ2wjQ0s8FOdOFC,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909,3:20,['62bOmKYxYg7dhrC6gH9vFn']
38,5H7sO778w4hgr2v2600ajN,UWAIE,2024-08-15,1,https://open.spotify.com/album/5H7sO778w4hgr2v2600ajN,https://i.scdn.co/image/ab67616d0000b27379945367a260e985a4471dc3,2:52,['5QjmUqgpPQgXgg4606DqZF']
39,6MikZBKCtKfPM4439yzBRz,EL COMIENZO,2024-08-09,7,https://open.spotify.com/album/6MikZBKCtKfPM4439yzBRz,https://i.scdn.co/image/ab67616d0000b273200e2b6526846c59789c92e6,2:14,['42wdz3j7gstgUuhoFLCXqd']
40,5kvw1bAOvzJdNi4hdgfaNf,ÉXODO,2024-06-20,24,https://open.spotify.com/album/5kvw1bAOvzJdNi4hdgfaNf,https://i.scdn.co/image/ab67616d0000b2732690127e1d6cd0aa35cc353b,2:10,['2aYZaN5SmkRDLsrrV8GkBQ']
41,3VNxRarx9HUI5w7DHv0TBj,Stargazing,2024-05-10,1,https://open.spotify.com/album/3VNxRarx9HUI5w7DHv0TBj,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,2:52,['3Vr3zh0r7ALn8VLqCiRR10']
42,5qfivA7g2aAhAIPnSb0csp,It's ok I'm ok,2024-09-12,1,https://open.spotify.com/album/5qfivA7g2aAhAIPnSb0csp,https://i.scdn.co/image/ab67616d0000b273cd9a93745f6a7cd54deaab22,2:36,['24XihnoVPWXlKJ4BgXqjVM']
43,40HsqPqeSR9Xe3IyAJWr6e,What Happens Now?,2024-02-16,8,https://open.spotify.com/album/40HsqPqeSR9Xe3IyAJWr6e,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb,2:51,['2uqYupMHANxnwgeiXTZXzd']
44,2m0euKZUDcoyEXHIS5MFCq,Alibi (with Pabllo Vittar & Yseult),2024-06-28,1,https://open.spotify.com/album/2m0euKZUDcoyEXHIS5MFCq,https://i.scdn.co/image/ab67616d0000b2734ee35e37bc21fe929a4d3605,2:41,['5496lks6V3fh1mZAB6IAap']
45,4UMjBXcRqIgMZ1XumU2x5T,Dizzy up the Girl,1998,13,https://open.spotify.com/album/4UMjBXcRqIgMZ1XumU2x5T,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca,4:49,['6Qyc6fS4DsZjB2mRW9DsQs']
46,0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS,2023-12-01,10,https://open.spotify.com/album/0lgs2Sa82lyX89nBUWyUy6,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242,3:16,['7bywjHOc0wSjGGbj04XbVi']
47,5XsZ5ZTcIHnZxjynaGxA0g,Dancing In The Flames,2024-09-13,1,https://open.spotify.com/album/5XsZ5ZTcIHnZxjynaGxA0g,https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb,3:40,['7z7kvUQGwlC6iOl7vMuAr9']
48,2ha4ucrONN0cihLMkP02Ch,New Woman (feat. ROSALÍA),2024-08-15,1,https://open.spotify.com/album/2ha4ucrONN0cihLMkP02Ch,https://i.scdn.co/image/ab67616d0000b2737c451a4f06288da6edf050c1,2:59,['7ov3TDp5D00Rnu5R1viX4w']
49,27GWSFRITD8JJcSGMgEfTN,INCÓMODO,2024-08-22,21,https://open.spotify.com/album/27GWSFRITD8JJcSGMgEfTN,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,2:25,['6X6m4xmdFcz31p1h7Qg68c']
